"country","iso3c","date","gdp_grwth","gdp","gdp_for20_grwth","gdp_forc20","gdp_dollars","gdp_forc20_dollars","gap_dollars","gap_relative"
"Senegal","SEN",2015,NA,78.78664422266921,NA,78.78664422266921,17774766636.0459,17774766636.0459,"$0","0.00%"
"Serbia","SRB",2015,NA,86.93493741469618,NA,86.93493741469618,39655958842.5478,39655958842.5478,"$0","0.00%"
"Seychelles","SYC",2015,NA,85.36056567732267,NA,85.36056567732267,1416001321.92671,1416001321.92671,"$0","0.00%"
"Sierra Leone","SLE",2015,NA,83.09953552598783,NA,83.09953552598783,4218723875.1379,4218723875.1379,"$0","0.00%"
"Singapore","SGP",2015,NA,88.03693507027023,NA,88.03693507027023,308004146057.608,308004146057.608,"$0","0.000%"
"Sint Maarten (Dutch part)","SXM",2015,NA,NA,NA,NA,1253072625.69832,1253072625.69832,"$0",NA
"Slovak Republic","SVK",2015,NA,89.35009126971535,NA,89.35009126971535,88900883130.8374,88900883130.8374,"$0","0.00%"
"Slovenia","SVN",2015,NA,85.55944387190922,NA,85.55944387190922,43107506024.3254,43107506024.3254,"$0","0.00%"
"Solomon Islands","SLB",2015,NA,87.91646873631926,NA,87.91646873631926,1307908069.79418,1307908069.79418,"$0","0.000%"
"Somalia","SOM",2015,NA,77.90917513429658,NA,77.90917513429658,5335000000,5335000000,"$0","0.00%"
"South Africa","ZAF",2015,NA,96.4375054654779,NA,96.4375054654779,346709790458.563,346709790458.563,"$0","0.000%"
"South Sudan","SSD",2015,NA,NA,NA,NA,11997800760.2242,11997800760.2242,"$0",NA
"Spain","ESP",2015,NA,90.34974435215624,NA,90.34974435215624,1196156971279.69,1196156971279.69,"$0","0.00%"
"Sri Lanka","LKA",2015,NA,87.58704628744839,NA,87.58704628744839,85140963536.633,85140963536.633,"$0","0.00%"
"St. Kitts and Nevis","KNA",2015,NA,90.60900822939135,NA,90.60900822939135,957040740.740741,957040740.740741,"$0","0.000%"
"St. Lucia","LCA",2015,NA,91.20769358438643,NA,91.20769358438643,1807227215.4535,1807227215.4535,"$0","0.00%"
"St. Martin (French part)","MAF",2015,NA,NA,NA,NA,NA,NA,NA,NA
