"country","iso3c","region","gdp_2019","gdp_2020","gdp_2021","SP.POP.TOTL_2019","SP.POP.TOTL_2020","SP.POP.TOTL_2021","tourism_gdp_share_2019","tourism_gdp_share_2020","tourism_gdp_share_2021","tourism_2019","tourism_2020","tourism_2021","change_gdp","tourism"
"Guatemala","GTM","Latin America & Caribbean",70784258833.5355,69535565809.4126,75098411074.1656,16604026,16858333,16858333,1.7337187959911062,1.7337187959911062,1.7337187959911062,"< 5% GDP","< 5% GDP","< 5% GDP",6.094790440309276,"< 5% GDP"
"Guinea","GIN","Sub-Saharan Africa",12075308713.989,12669446068.0109,13163554464.663324,12877539,13205153,13205153,0.08612616245538975,0.08612616245538975,0.08612616245538975,"< 5% GDP","< 5% GDP","< 5% GDP",9.012156760958115,"< 5% GDP"
"Guinea-Bissau","GNB","Sub-Saharan Africa",1248729327.89726,1218759824.0375,1279697815.2393749,1970457,2015828,2015828,1.6737013803861145,1.6737013803861145,1.6737013803861145,"< 5% GDP","< 5% GDP","< 5% GDP",2.4800000008218657,"< 5% GDP"
"Honduras","HND","Latin America & Caribbean",24360344497.7749,22176498033.542,24948560287.73475,9958829,10121763,10121763,2.282397935919115,2.282397935919115,2.282397935919115,"< 5% GDP","< 5% GDP","< 5% GDP",2.4146447929485504,"< 5% GDP"
"Hong Kong SAR, China","HKG","East Asia & Pacific",331791971545.541,310076159670.46,329744290478.35736,7507900,7481000,7481000,9.854668829897255,9.854668829897255,9.854668829897255,"5-10% GDP","5-10% GDP","5-10% GDP",-0.617158111947442,"5-10% GDP"
"Hungary","HUN","Europe & Central Asia",147374909829.683,140673383870.477,150661194125.28085,9771141,9750149,9750149,6.9184096613074955,6.9184096613074955,6.9184096613074955,"5-10% GDP","5-10% GDP","5-10% GDP",2.229880445318477,"5-10% GDP"
"India","IND","South Asia",2685747840248.32,2508593750079.03,2726841406335.9053,1383112050,1396387127,1396387127,1.1788522930385257,1.1788522930385257,1.1788522930385257,"< 5% GDP","< 5% GDP","< 5% GDP",1.5300604722365152,"< 5% GDP"
"Indonesia","IDN","East Asia & Pacific",1049330236897.15,1027661515658.56,1065684991737.9268,269582878,271857970,271857970,1.7538806519499797,1.7538806519499797,1.7538806519499797,"< 5% GDP","< 5% GDP","< 5% GDP",1.5585898762564432,"< 5% GDP"
"Iran, Islamic Rep.","IRN","Middle East & North Africa",434302748262.529,448766282566.191,469858297846.80194,86564202,87290193,87290193,1.1771491215671255,1.1771491215671255,1.1771491215671255,"< 5% GDP","< 5% GDP","< 5% GDP",8.186812016851478,"< 5% GDP"
"Iraq","IRQ","Middle East & North Africa",201765395928.215,178917080452.31,183926758704.97467,41563520,42556984,42556984,1.7807810816470897,1.7807810816470897,1.7807810816470897,"< 5% GDP","< 5% GDP","< 5% GDP",-8.841276840944042,"< 5% GDP"
"Ireland","IRL","Europe & Central Asia",371256301839.016,394216789047.752,447782966343.56055,4934340,4985382,4985382,3.9886191632704024,3.9886191632704024,3.9886191632704024,"< 5% GDP","< 5% GDP","< 5% GDP",20.61289306753048,"< 5% GDP"
"Israel","ISR","Middle East & North Africa",358460252733.588,351802608893.272,382099849571.1605,9054000,9215100,9215100,2.3539569410143844,2.3539569410143844,2.3539569410143844,"< 5% GDP","< 5% GDP","< 5% GDP",6.5947609692563995,"< 5% GDP"
"Italy","ITA","Europe & Central Asia",1918157617381.17,1744757062415.98,1861690680739.099,59729081,59438851,59438851,2.7062426742006687,2.7062426742006687,2.7062426742006687,"< 5% GDP","< 5% GDP","< 5% GDP",-2.943811088849112,"< 5% GDP"
"Japan","JPN","East Asia & Pacific",4569053543631.89,4363130661935.36,4435427737003.629,126633000,126261000,126261000,1.0769407609280652,1.0769407609280652,1.0769407609280652,"< 5% GDP","< 5% GDP","< 5% GDP",-2.9245839505317566,"< 5% GDP"
"Jordan","JOR","Middle East & North Africa",41896223940.7378,41238673866.8076,42145924691.87737,10698683,10928721,10928721,16.383338053828254,16.383338053828254,16.383338053828254,">= 10% GDP",">= 10% GDP",">= 10% GDP",0.5959982252643432,">= 10% GDP"
"Kazakhstan","KAZ","Europe & Central Asia",211106972039.014,205829297738.039,214268298945.29858,18513673,18755666,18755666,1.384132400639044,1.384132400639044,1.384132400639044,"< 5% GDP","< 5% GDP","< 5% GDP",1.497500000000162,"< 5% GDP"
"Kenya","KEN","Sub-Saharan Africa",84264944512.0312,84054150946.0459,90358212266.99934,50951450,51985780,51985780,2.0910237468303614,2.0910237468303614,2.0910237468303614,"< 5% GDP","< 5% GDP","< 5% GDP",7.23108261715897,"< 5% GDP"
"Kiribati","KIR","East Asia & Pacific",177018273.076654,176049976.4036,178690726.04965398,124241,126463,126463,3.05804841571553,3.05804841571553,3.05804841571553,"< 5% GDP","< 5% GDP","< 5% GDP",0.9447911472256708,"< 5% GDP"
"Korea, Rep.","KOR","East Asia & Pacific",1637850078348.95,1626230918329.23,1693638189893.9766,51764822,51836239,51836239,1.6006959578637558,1.6006959578637558,1.6006959578637558,"< 5% GDP","< 5% GDP","< 5% GDP",3.406179373954931,"< 5% GDP"
"Kuwait","KWT","Middle East & North Africa",114462498533.906,104326525025.932,105682769851.26912,4441100,4360444,4360444,1.0274107371958563,1.0274107371958563,1.0274107371958563,"< 5% GDP","< 5% GDP","< 5% GDP",-7.670397549496232,"< 5% GDP"
"Kyrgyz Republic","KGZ","Europe & Central Asia",7920624102.90056,7255421236.2525,7516616400.757589,6456200,6579900,6579900,8.938689562868259,8.938689562868259,8.938689562868259,"5-10% GDP","5-10% GDP","5-10% GDP",-5.100705410259553,"5-10% GDP"
